INDEX,REPORT_YEAR,DIVISION,NEIGHBOURHOOD,CATEGORY,SUBTYPE,COUNT,COUNT_CLEARED,ObjectId
7376,2015,D13,Englemount-Lawrence (32),Crimes Against Property,Auto Theft,6,1,7574
7499,2014,D55,Greenwood-Coxwell (65),Crimes Against Property,Fraud,19,4,7575
7500,2023,D43,Golfdale-Cedarbrae-Woburn (141),Crimes Against Property,Theft Over $5000,9,1,7576
7377,2023,D43,West Hill (136),Crimes Against the Person,Attempt Murder,3,3,7577
7378,2021,D33,Hillcrest Village (48),Crimes Against Property,Break & Enter-Apartment,3,2,7578
7379,2014,D42,Tam O'Shanter-Sullivan (118),Crimes Against Property,Theft Over $5000,4,2,7579
7380,2020,D14,Little Portugal (84),Crimes Against the Person,Other,7,3,7580
7381,2018,D22,Princess-Rosethorn (10),Controlled Drugs and Substances Act,Other,3,3,7581
7382,2016,D42,NSA,Crimes Against Property,Fraud,6,3,7582
7383,2020,D22,Islington (158),Crimes Against the Person,Robbery-Other,11,9,7583
7384,2019,D33,Hillcrest Village (48),Crimes Against the Person,Other,20,10,7584
7385,2020,D33,Bayview Woods-Steeles (49),Criminal Code Traffic,Other,2,2,7585
7386,2015,NSA,Newtonbrook East (50),Controlled Drugs and Substances Act,Other,1,1,7586
7387,2018,D42,West Rouge (143),Controlled Drugs and Substances Act,Other,3,3,7587
7388,2014,D33,St.Andrew-Windfields (40),Other Criminal Code Violations,Other,13,10,7588
7389,2021,D14,Annex (95),Crimes Against Property,Theft Under $5000,300,53,7589
7390,2021,D55,East End-Danforth (62),Crimes Against Property,Theft Under $5000,362,69,7590
7391,2017,D55,NSA,Crimes Against the Person,Other,5,1,7591
7392,2014,D31,York University Heights (27),Crimes Against Property,Break & Enter-House,13,7,7592
7393,2020,D33,St.Andrew-Windfields (40),Crimes Against Property,Other,43,8,7593
7394,2019,D22,Stonegate-Queensway (16),Crimes Against the Person,Assault,79,57,7594
7395,2015,D22,Kingsway South (15),Crimes Against the Person,Robbery-Financial,2,1,7595
7396,2015,D41,Wexford/Maryvale (119),Controlled Drugs and Substances Act,Other,45,43,7596
7397,2021,NSA,NSA,Crimes Against the Person,Assault,255,116,7597
7398,2019,D51,Regent Park (72),Crimes Against the Person,Assault,154,90,7598
7399,2015,D23,Princess-Rosethorn (10),Controlled Drugs and Substances Act,Other,1,1,7599
7400,2020,D23,Kingsview Village-The Westway (6),Crimes Against Property,Other,57,11,7600
7801,2020,D52,Wellington Place (164),Controlled Drugs and Substances Act,Other,9,9,7601
7802,2014,D14,Harbourfront-CityPlace (165),Crimes Against the Person,Robbery-Financial,1,1,7602
7803,2016,D55,Danforth (66),Crimes Against the Person,Sexual Violation,12,10,7603
7804,2016,D41,Eglinton East (138),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,8,7,7604
7805,2015,D11,Lambton Baby Point (114),Crimes Against Property,Theft Over $5000,2,1,7605
7806,2014,D14,Palmerston-Little Italy (80),Crimes Against the Person,Robbery-Financial,1,1,7606
7807,2018,D31,Humbermede (22),Crimes Against the Person,Other,40,19,7607
7808,2021,D11,Junction-Wallace Emerson (171),Crimes Against Property,Break & Enter-House,16,5,7608
7809,2019,D43,West Rouge (143),Crimes Against Property,Fraud,21,4,7609
7810,2017,D52,University (79),Crimes Against the Person,Other,23,16,7610
7811,2023,D31,Black Creek (24),Crimes Against Property,Auto Theft,84,1,7611
7812,2020,D55,Broadview North (57),Criminal Code Traffic,Other,8,8,7612
7813,2016,D11,High Park North (88),Crimes Against Property,Break & Enter-Apartment,15,3,7613
7814,2020,D42,L'Amoreaux West (147),Crimes Against Property,Break & Enter-Commercial,10,3,7614
7815,2023,D51,Church-Wellesley (167),Crimes Against Property,Theft Under $5000,1895,299,7615
7816,2015,D23,Glenfield-Jane Heights (25),Other Criminal Code Violations,Other,1,1,7616
7817,2023,D14,Harbourfront-CityPlace (165),Crimes Against Property,Fraud,73,4,7617
7818,2021,D14,St Lawrence-East Bayfront-The Islands (166),Other Criminal Code Violations,Other,1,1,7618
7819,2022,D13,Junction-Wallace Emerson (171),Crimes Against Property,Theft Under $5000,30,1,7619
7820,2014,D32,Yorkdale-Glen Park (31),Other Federal Statute Violations,Other,3,3,7620
7821,2020,D43,Woburn North (142),Crimes Against Property,Break & Enter-Other,1,1,7621
7822,2022,D32,Westminster-Branson (35),Crimes Against Property,Theft Over $5000,11,4,7622
7823,2022,D31,Downsview (155),Controlled Drugs and Substances Act,Other,3,3,7623
7824,2017,D14,Yonge-Bay Corridor (170),Other Criminal Code Violations,Other,7,7,7624
7825,2019,D52,University (79),Crimes Against the Person,Sexual Violation,8,3,7625
7826,2021,D33,Hillcrest Village (48),Other Criminal Code Violations,Other,20,14,7626
7827,2015,D13,Englemount-Lawrence (32),Criminal Code Traffic,Other,2,2,7627
7828,2015,D13,Casa Loma (96),Crimes Against Property,Theft Under $5000,143,65,7628
7829,2022,D32,Newtonbrook East (50),Crimes Against the Person,Sexual Violation,17,11,7629
7830,2016,D31,Humber Summit (21),Crimes Against Property,Break & Enter-Apartment,4,2,7630
7831,2017,D12,Beechborough-Greenbrook (112),Crimes Against the Person,Assault,55,42,7631
7832,2017,D53,Casa Loma (96),Crimes Against the Person,Assault,10,9,7632
7833,2020,D53,North Toronto (173),Criminal Code Traffic,Other,2,2,7633
